Id,firstName,lastName,salary,managerId
1,CEO,Company,60000,
2,Tom,Taylor,43501,1
3,Jane,Doe,51860,2
4,Bob,Brown,40706,3
5,John,Taylor,53089,3
6,John,Brown,46141,1
7,Bob,Anderson,52663,1
8,Jane,Doe,48211,4
9,John,Taylor,56492,5
10,Bob,Smith,50792,3
11,Bob,Brown,57222,1
12,Emma,Doe,53683,3
13,Jane,Smith,51036,5
14,Emma,Doe,46493,5
15,Emma,Anderson,38555,8
16,Tom,Smith,57200,9
17,Tom,Brown,41678,11
18,Tom,Anderson,46981,1
19,Alice,Johnson,52008,2
20,Alice,Smith,42193,4
21,Emma,Brown,49675,1
22,Bob,Smith,59129,8
23,John,Smith,51429,1
24,Alice,Smith,46665,3
25,Alice,Smith,55732,23
26,Tom,Smith,47930,25
27,Alice,Johnson,51258,5
28,Alice,Smith,42157,7
29,Bob,Johnson,43368,11
30,Emma,Doe,36837,10
31,Alice,Johnson,51444,28
32,Bob,Smith,40255,8
33,Jane,Taylor,59615,31
34,Jane,Brown,45070,14
35,John,Johnson,51415,32
36,Alice,Smith,47474,18
37,John,Johnson,47474,1
38,Emma,Doe,40154,5
39,Alice,Smith,48105,21
40,Bob,Brown,41591,21
41,Tom,Brown,42263,26
42,Alice,Smith,50140,15
43,Tom,Anderson,51384,30
44,Alice,Johnson,55200,6
45,Bob,Doe,34767,24
46,Tom,Doe,48668,26
47,Alice,Johnson,44412,18
48,Tom,Smith,56749,14
49,Tom,Johnson,47219,16
50,Emma,Doe,49561,43
51,John,Smith,47237,44
52,Jane,Smith,54071,49
53,Bob,Taylor,58078,52
54,Alice,Taylor,50199,11
55,Tom,Johnson,46627,10
56,Alice,Johnson,40003,46
57,Alice,Johnson,48563,8
58,Bob,Doe,43008,14
59,Bob,Brown,42791,18
60,Emma,Anderson,62460,5
61,Tom,Doe,54899,28
62,Jane,Anderson,45074,33
63,Bob,Doe,59542,26
64,Emma,Taylor,59201,14
65,Tom,Anderson,42289,5
66,Emma,Taylor,48107,26
67,John,Anderson,57684,14
68,Emma,Doe,53183,47
69,Bob,Smith,45504,4
70,Tom,Johnson,42751,27
71,Alice,Brown,44969,27
72,Alice,Doe,45216,27
73,Bob,Taylor,46066,39
74,Bob,Smith,40423,35
75,Jane,Johnson,34033,26
76,Jane,Taylor,41920,37
77,Emma,Smith,44299,14
78,Emma,Smith,47824,7
79,Alice,Anderson,49298,2
80,Bob,Doe,45885,36
81,John,Smith,54256,53
82,Jane,Johnson,51334,43
83,Tom,Anderson,41536,82
84,Jane,Brown,54672,48
85,Emma,Doe,44644,3
86,Bob,Johnson,40782,45
87,Alice,Johnson,44812,20
88,John,Johnson,48856,70
89,Jane,Johnson,54446,30
90,John,Taylor,32077,76
91,Alice,Johnson,45796,30
92,Alice,Anderson,40235,43
93,Bob,Brown,48150,7
94,Jane,Brown,50081,70
95,Tom,Johnson,56404,89
96,Alice,Smith,50370,83
97,Bob,Anderson,56619,83
98,Emma,Taylor,50273,57
99,John,Doe,42088,9
100,Alice,Smith,56279,1
101,Emma,Anderson,57947,74
102,Bob,Johnson,55514,68
103,Tom,Taylor,45364,52
104,John,Johnson,42118,97
105,Bob,Johnson,43881,42
106,John,Doe,54506,37
107,John,Johnson,52506,18
108,Tom,Johnson,45925,46
109,John,Smith,52649,3
110,Alice,Smith,43996,59
111,Emma,Taylor,55810,9
112,Alice,Taylor,53832,67
113,John,Doe,58976,71
114,Bob,Taylor,47641,62
115,Jane,Johnson,41946,99
116,Alice,Anderson,47674,52
117,Tom,Anderson,57567,20
118,Jane,Smith,59154,50
119,Emma,Taylor,52443,15
120,John,Brown,61134,9
121,John,Smith,58425,27
122,Tom,Johnson,41315,121
123,Jane,Taylor,43612,91
124,John,Brown,51026,75
125,Jane,Brown,55281,102
126,Bob,Doe,43743,8
127,Tom,Anderson,58213,117
128,Tom,Taylor,45319,10
129,John,Johnson,44148,69
130,Bob,Doe,51064,53
131,Tom,Johnson,52207,59
132,John,Anderson,52437,126
133,Tom,Doe,48793,54
134,Emma,Brown,57008,26
135,Bob,Smith,49829,124
136,Jane,Taylor,46394,96
137,Jane,Smith,41319,125
138,John,Johnson,53523,44
139,Jane,Anderson,41099,57
140,Emma,Brown,45543,79
141,Bob,Johnson,42005,74
142,Bob,Brown,57342,129
143,Bob,Smith,45430,13
144,Bob,Johnson,52197,84
145,Emma,Doe,42541,89
146,Bob,Brown,40984,84
147,Alice,Taylor,56416,60
148,Tom,Taylor,58522,25
149,Jane,Taylor,59136,42
150,Alice,Johnson,41689,72
151,Alice,Doe,54798,69
152,Emma,Taylor,56004,38
153,Alice,Johnson,58725,74
154,Bob,Johnson,53123,30
155,Bob,Smith,56406,116
156,John,Taylor,51768,11
157,John,Johnson,41520,101
158,John,Johnson,54796,132
159,Emma,Brown,45863,49
160,Tom,Taylor,58826,35
161,Alice,Taylor,48206,73
162,Jane,Taylor,41664,108
163,Tom,Doe,54878,13
164,Tom,Brown,55262,142
165,Emma,Doe,57869,146
166,Tom,Taylor,46931,106
167,Emma,Brown,40262,104
168,Jane,Johnson,48999,97
169,Jane,Taylor,53816,51
170,John,Taylor,42243,109
171,Bob,Smith,42100,17
172,Alice,Doe,47921,154
173,Alice,Anderson,51702,42
174,Alice,Johnson,55697,16
175,Emma,Brown,51287,133
176,Bob,Johnson,41441,3
177,Emma,Brown,55782,107
178,Tom,Johnson,53782,17
179,John,Doe,45617,87
180,Jane,Anderson,69936,141
181,Alice,Doe,48736,128
182,Alice,Johnson,54849,72
183,Emma,Brown,46888,148
184,Bob,Taylor,48266,159
185,Tom,Brown,43947,160
186,Tom,Smith,42156,41
187,John,Doe,53538,150
188,John,Anderson,52515,66
189,John,Taylor,40858,162
190,Bob,Anderson,53146,140
191,Tom,Brown,58222,105
192,Tom,Doe,54383,113
193,Tom,Anderson,46767,178
194,Jane,Johnson,53010,159
195,John,Brown,52636,32
196,Emma,Anderson,54007,140
197,John,Brown,59285,94
198,John,Doe,45933,78
199,Jane,Smith,54575,161
200,Alice,Anderson,58171,56
201,Emma,Anderson,51716,191
202,Bob,Doe,42367,176
203,Emma,Johnson,52238,198
204,Bob,Taylor,56803,20
205,Alice,Doe,49395,186
206,John,Smith,44442,32
207,Tom,Smith,53732,155
208,Alice,Smith,44223,131
209,Emma,Smith,52731,94
210,Bob,Doe,53690,3
211,Bob,Johnson,46989,196
212,Jane,Johnson,54254,169
213,Bob,Smith,48484,90
214,Emma,Doe,47432,195
215,Emma,Taylor,43348,43
216,Emma,Smith,45024,127
217,Emma,Smith,55397,20
218,Emma,Doe,59234,200
219,Jane,Brown,43421,52
220,Jane,Johnson,46337,32
221,Bob,Smith,43557,62
222,Alice,Doe,50830,81
223,Emma,Taylor,59499,108
224,Alice,Taylor,41405,73
225,Emma,Brown,47194,214
226,Alice,Doe,44140,68
227,Jane,Johnson,58079,163
228,Alice,Johnson,46974,168
229,Alice,Johnson,56697,112
230,Tom,Johnson,57303,56
231,Bob,Doe,58934,191
232,Jane,Smith,47648,31
233,John,Taylor,57735,197
234,Alice,Doe,45725,35
235,Emma,Taylor,45522,167
236,Alice,Johnson,40810,147
237,John,Taylor,45082,3
238,Alice,Anderson,41599,187
239,Tom,Anderson,41948,96
240,Jane,Johnson,70896,158
241,John,Doe,47039,88
242,John,Anderson,53178,3
243,Bob,Taylor,49748,46
244,Emma,Johnson,48079,32
245,Alice,Taylor,43974,128
246,John,Anderson,41563,103
247,Alice,Taylor,53548,235
248,Bob,Smith,54501,136
249,John,Johnson,52207,223
250,Emma,Johnson,43045,219
251,John,Taylor,46567,157
252,Tom,Taylor,46279,36
253,Jane,Johnson,49761,181
254,Tom,Anderson,51240,93
255,Tom,Anderson,44027,6
256,Alice,Brown,54427,241
257,Alice,Johnson,48093,97
258,John,Doe,51386,112
259,John,Brown,42978,141
260,Bob,Doe,40948,84
261,Alice,Johnson,41445,86
262,Tom,Johnson,59631,193
263,Bob,Johnson,51001,207
264,Bob,Anderson,54399,74
265,John,Taylor,44414,237
266,Emma,Smith,40862,105
267,Tom,Johnson,42172,241
268,John,Smith,51891,188
269,Bob,Taylor,53927,112
270,John,Smith,50797,106
271,Jane,Taylor,48775,165
272,Jane,Doe,58968,111
273,Tom,Johnson,55286,176
274,Emma,Doe,48179,41
275,Alice,Smith,42812,81
276,Emma,Doe,57079,175
277,Emma,Doe,40805,139
278,Tom,Doe,51655,132
279,John,Doe,59644,264
280,Bob,Anderson,55336,57
281,Bob,Taylor,48465,207
282,Alice,Johnson,51971,199
283,Emma,Doe,53364,32
284,Bob,Anderson,51713,5
285,Jane,Brown,48918,269
286,Jane,Doe,41151,270
287,John,Taylor,46676,165
288,Bob,Anderson,58111,215
289,Emma,Taylor,41384,149
290,Emma,Anderson,41087,234
291,John,Doe,49341,282
292,Emma,Smith,41464,20
293,John,Brown,57699,136
294,Emma,Taylor,55808,28
295,Bob,Anderson,54691,194
296,Tom,Taylor,47364,176
297,Jane,Johnson,56128,153
298,Bob,Doe,57741,14
299,Bob,Smith,58936,143
300,Alice,Smith,62395,56
301,Tom,Johnson,56240,215
302,John,Doe,48111,80
303,John,Johnson,55940,206
304,Jane,Johnson,58241,222
305,Tom,Smith,42136,69
306,Jane,Doe,57007,213
307,Bob,Johnson,51952,186
308,Emma,Anderson,46365,56
309,Bob,Anderson,45985,277
310,Alice,Brown,44385,96
311,Emma,Taylor,47921,63
312,Jane,Taylor,46467,17
313,Jane,Smith,47034,148
314,Emma,Taylor,56668,116
315,Bob,Doe,49382,22
316,John,Taylor,41332,60
317,John,Johnson,57081,296
318,Bob,Taylor,41812,25
319,Emma,Brown,54223,205
320,John,Taylor,52992,211
321,Jane,Johnson,53179,14
322,Alice,Doe,48376,94
323,Tom,Johnson,58812,6
324,John,Smith,56391,173
325,Bob,Taylor,58553,119
326,Alice,Doe,50305,213
327,Bob,Taylor,43652,305
328,Jane,Smith,53286,132
329,Jane,Anderson,45625,14
330,Emma,Brown,48831,243
331,Tom,Doe,40869,292
332,Alice,Smith,40505,120
333,Emma,Smith,48297,202
